id	nom	typeLibelle	rangChallenges	commentaire	mediaType	mediaPeriodicite	mediaEchelle
197	Le Pays gessien	Media			Régional	Hebdomadaire	Régional
198	La Tribune républicaine	Media			Régional	Hebdomadaire	Régional
199	La Savoie	Media			Régional	Hebdomadaire	Régional
200	Le Phare Dunkerquois	Media			Régional	Hebdomadaire	Régional
201	La Semaine dans le Boulonnais	Media			Régional	Hebdomadaire	Régional
202	Le Réveil de Berck	Media			Régional	Hebdomadaire	Régional
203	Le Journal de Montreuil	Media			Régional	Hebdomadaire	Régional
204	L'indicateur	Media			Régional	Hebdomadaire	Régional
205	L'Echo de la Lys	Media			Régional	Hebdomadaire	Régional
206	Crédit Mutuel	PersoneMorale					
207	Groupe EBRA	PersoneMorale					
208	L'Est républicain	Media			Régional	Quotidien	Régional
209	Le Républicain lorrain	Media			Régional	Quotidien	Régional
210	DNA	Media			Régional	Quotidien	Régional
211	Vosges Matin	Media			Régional	Quotidien	Régional
212	L'Alsace	Media			Régional	Quotidien	Régional
213	Le Bien public	Media			Régional	Quotidien	Régional
214	Le Journal de Saône-et-Loire	Media			Régional	Quotidien	Régional
215	Le Progrès	Media			Régional	Quotidien	Régional
216	Le Dauphiné libéré	Media			Régional	Quotidien	Régional
217	Vaucluse Matin	Media			Régional	Quotidien	Régional
218	Le Journal de la Haute-Marne	Media			Régional	Quotidien	Régional
219	Fondation Varenne	PersoneMorale					
220	Famille Saint-Cricq	PersonePhysique					
221	Groupe La Montagne	PersoneMorale					
222	La Montagne	Media			Régional	Quotidien	Régional
223	Le Populaire du centre	Media			Régional	Quotidien	Régional
224	Le Journal du centre	Media			Régional	Quotidien	Régional
225	Le Berry républicain	Media			Régional	Quotidien	Régional
226	L’Yonne Républicaine	Media			Régional	Quotidien	Régional
227	L’Echo Républicain	Media			Régional	Quotidien	Régional
228	Courrier du Loiret	Media			Régional	Hebdomadaire	Régional
229	L’Eclaireur du Gâtinais	Media			Régional	Hebdomadaire	Régional
230	Régional de Cosne	Media			Régional	Hebdomadaire	Régional
231	L’Echo Charitois	Media			Régional	Hebdomadaire	Régional
232	Pays Roannais	Media			Régional	Hebdomadaire	Régional
233	La Liberté	Media			Régional	Hebdomadaire	Régional
234	Journal de Gien	Media			Régional	Hebdomadaire	Régional
235	La République du Centre	Media			Régional	Quotidien	Régional
236	Groupe NRCO	PersoneMorale					
237	Nouvelle République du Centre	Media			Régional	Quotidien	Régional
238	Centre Presse	Media			Régional	Quotidien	Régional
239	TV Tours	Media		Télévision	Régional		Régional
240	Famille Baylet	PersonePhysique					
241	Groupe La Dépêche	PersoneMorale					
242	La Dépêche du midi	Media			Régional	Quotidien	Régional
243	Le Petit Bleu	Media			Régional	Quotidien	Régional
244	La Nouvelle République des Pyrénées	Media			Régional	Quotidien	Régional
245	Le Villefranchois	Media			Régional	Hebdomadaire	Régional
246	La Gazette du Comminges	Media			Régional	Hebdomadaire	Régional
247	Les Journaux du midi	PersoneMorale					
248	Midi libre	Media			Régional	Quotidien	Régional
249	L'Indépendant	Media			Régional	Quotidien	Régional
250	Centre Presse Aveyron	Media			Régional	Quotidien	Régional
251	Famille Lemoine	PersonePhysique					
252	Groupe Sud Ouest	PersoneMorale					
253	Sud Ouest	Media			Régional	Quotidien	Régional
254	Charente Libre	Media			Régional	Quotidien	Régional
255	Dordogne Libre	Media			Régional	Quotidien	Régional
256	Haute Saintonge	Media			Régional	Hebdomadaire	Régional
257	Haute Gironde	Media			Régional	Hebdomadaire	Régional
258	Le Résistant	Media			Régional	Hebdomadaire	Régional
259	L'Hebdo de Charente-Maritime	Media			Régional	Hebdomadaire	Régional
260	La Dépêche du Bassin	Media			Régional	Hebdomadaire	Régional
261	Le Journal du Médoc	Media			Régional	Hebdomadaire	Régional
262	Pyrénées Presse	PersoneMorale					
263	La République des Pyrénées	Media			Régional	Quotidien	Régional
264	L'Eclair	Media			Régional	Quotidien	Régional
265	Édouard Coudurier	PersonePhysique					
266	Groupe Télégramme	PersoneMorale					
267	Le Télégramme	Media			Régional	Quotidien	Régional
268	Le Poher	Media			Régional	Quotidien	Régional
269	Tébéo	Media		Télévision	Régional		Régional
270	Tébésud	Media		Télévision	Régional		Régional
271	Le Mensuel de Rennes	Media			Régional	Mensuel	Régional
272	Sept Jours à Brest	Media			Régional	Hebdomadaire	Régional
273	Le Journal des entreprises	Media			Régional	Mensuel	Régional
274	Bretagne magazine	Media			Régional	Hebdomadaire	Régional
275	Bernard Tapie	PersonePhysique					
276	Nethys	PersoneMorale					
277	Publifin	PersoneMorale					
278	Province de Liège	Etat					
279	Groupe La Provence	PersoneMorale					
280	Nice-Matin	Media			Régional	Quotidien	Régional
281	Corse Matin	Media			Régional	Quotidien	Régional
282	La Provence	Media			Régional	Quotidien	Régional
283	Jean-Louis Louvel	PersonePhysique					
284	Société Normande d'Information et de Communication	PersoneMorale					
285	Paris-Normandie	Media			Régional	Quotidien	Régional
286	Havre Libre	Media			Régional	Quotidien	Régional
287	Le Progrès de Fécamp	Media			Régional	Quotidien	Régional
288	Le Progrès de Fécamp	Media			Régional	Quotidien	Régional
289	Liberté Dimanche	Media			Régional	Hebdomadaire	Régional
290	Havre Dimanche	Media			Régional	Hebdomadaire	Régional
291	Normandie Dimanche	Media			Régional	Hebdomadaire	Régional
292	Philippe Hersant	PersonePhysique					
293	Éditions Suisses Holding	PersoneMorale					
294	Groupe Hersant Média	PersoneMorale					
295	Groupe Filanosa	PersoneMorale					
296	Rhône Média	PersoneMorale					
297	La Côte (Nyon)	Media			Suisse		
298	L'Express (Neuchâtel)	Media			Suisse		
299	L'Impartial (La Chaux-de-Fonds)	Media			Suisse		
300	Le Nouvelliste	Media			Suisse		
301	La Gazette de Martigny	Media			Suisse		
302	Le Journal de Sierre	Media			Suisse		
303	France Antilles	Media			Régional	Quotidien	Régional
304	France Guyane	Media			Régional	Quotidien	Régional
305	Abdoul Cadjee	PersonePhysique					
306	Le Journal de l'Île de la Réunion	Media			Régional	Quotidien	Régional
307	Benjamin et Ariane de Rothschild	PersonePhysique	21				
308	Lampsane Investissement SA	PersoneMorale					
309	Slate.fr	Media		Pure player	Site		
310	Jean-Sébastien Ferjou	PersonePhysique					
311	Pierre Guyot	PersonePhysique					
312	Gérard Lignac	PersonePhysique					
313	Atlantico.fr	Media		Pure player	Site		
314	Franck Julien	PersonePhysique	132				
315	Edi Invest	PersoneMorale					
316	Jean Christophe Tortora	PersonePhysique					
317	Laurent Alexandre	PersonePhysique					
318	Hima Groupe	PersoneMorale					
319	La Tribune	Media			Site		
320	i24 News	Media			Télévision		
321	Elle	Media				Hebdomadaire	Féminin
322	Le Nouveau Magazine littéraire	Media			GPE	Mensuel	
